UserID,DeviceID,TypeOfAccess,TimeOfAccess,UserAuthorityLevel,DeviceAuthorityLevel,Anomaly
U1007,D201,Entry,01-02-2024 08:57,2,1,0
U1001,D202,Exit,01-02-2024 10:55,2,2,0
U10010,D202,Entry,01-02-2024 12:44,2,2,0
U1001,D201,Entry,01-02-2024 13:17,2,1,0
U10010,D205,Entry,01-02-2024 13:26,2,2,0
U10010,D203,Entry,01-02-2024 14:19,2,1,0
U1004,D201,Entry,01-02-2024 16:16,2,1,0
U1009,D201,Entry,01-02-2024 16:57,3,1,0
U10010,D205,Entry,01-02-2024 17:54,2,2,0
U1002,D203,Entry,01-02-2024 18:05,3,1,0
U1003,D204,Exit,01-02-2024 19:36,2,2,0
U1008,D203,Exit,01-02-2024 20:56,1,1,0
U1005,D203,Exit,01-02-2024 21:14,1,1,0
U1001,D202,Entry,01-02-2024 21:55,2,2,0
U1008,D201,Entry,01-02-2024 23:12,1,1,0
U10010,D201,Entry,02-02-2024 00:13,2,1,0
U1009,D203,Exit,02-02-2024 00:24,3,1,0
U1006,D205,Exit,02-02-2024 02:10,3,2,0
U1006,D202,Entry,02-02-2024 02:49,3,2,0
U10010,D201,Entry,02-02-2024 04:43,2,1,0
U1004,D201,Entry,02-02-2024 05:21,2,1,0
U1009,D201,Entry,02-02-2024 05:28,3,1,0
U1007,D201,Exit,02-02-2024 05:58,2,1,0
U1008,D201,Entry,02-02-2024 06:23,1,1,0
U1007,D201,Exit,02-02-2024 06:33,2,1,1
U1006,D203,Entry,02-02-2024 07:41,3,1,0
U1005,D201,Entry,02-02-2024 08:50,1,1,0
U1009,D203,Entry,02-02-2024 10:30,3,1,0
U10010,D203,Exit,02-02-2024 12:29,2,1,0
U1008,D203,Exit,02-02-2024 13:35,1,1,0
U1006,D204,Exit,02-02-2024 14:30,3,2,0
U1004,D201,Entry,02-02-2024 15:10,2,1,0
U1007,D203,Exit,02-02-2024 16:14,2,1,1
U1007,D201,Entry,02-02-2024 16:37,2,1,0
U10010,D204,Entry,02-02-2024 17:23,2,2,0
U1009,D205,Entry,02-02-2024 17:50,3,2,0
U1007,D202,Entry,02-02-2024 18:54,2,2,0
U1007,D203,Exit,02-02-2024 20:34,2,1,0
U10010,D204,Entry,02-02-2024 21:30,2,2,0
U1006,D205,Entry,02-02-2024 23:25,3,2,0
U1004,D202,Exit,03-02-2024 01:01,2,2,0
U1002,D202,Exit,03-02-2024 02:03,3,2,0
U10010,D202,Exit,03-02-2024 03:34,2,2,0
U1004,D204,Entry,03-02-2024 04:07,2,2,0
U1006,D201,Entry,03-02-2024 04:18,3,1,0
U1008,D203,Exit,03-02-2024 05:32,1,1,1
U10010,D203,Entry,03-02-2024 07:31,2,1,0
U1008,D203,Entry,03-02-2024 07:42,1,1,0
U1009,D202,Entry,03-02-2024 08:55,3,2,0
U1002,D205,Exit,03-02-2024 09:33,3,2,1
U1008,D203,Exit,03-02-2024 10:53,1,1,1
U1001,D202,Exit,03-02-2024 11:08,2,2,0
U1009,D202,Exit,03-02-2024 12:53,3,2,0
U1004,D205,Entry,03-02-2024 13:04,2,2,0
U10010,D203,Entry,03-02-2024 14:52,2,1,0
U1006,D205,Exit,03-02-2024 15:52,3,2,0
U1005,D203,Entry,03-02-2024 16:12,1,1,0
U1008,D203,Entry,03-02-2024 17:31,1,1,0
U1005,D201,Entry,03-02-2024 18:29,1,1,0
U1008,D201,Exit,03-02-2024 18:35,1,1,0
U1005,D203,Entry,03-02-2024 19:20,1,1,0
U10010,D203,Entry,03-02-2024 20:22,2,1,0
U1002,D204,Entry,03-02-2024 20:34,3,2,0
U1001,D204,Entry,03-02-2024 20:51,2,2,0
U10010,D203,Exit,03-02-2024 21:14,2,1,0
U1005,D201,Entry,03-02-2024 22:05,1,1,0
U1007,D204,Exit,03-02-2024 23:50,2,2,1
U1005,D201,Entry,04-02-2024 00:07,1,1,0
U1009,D201,Entry,04-02-2024 01:54,3,1,0
U1009,D201,Exit,04-02-2024 03:37,3,1,0
U1007,D202,Entry,04-02-2024 05:30,2,2,0
U1002,D201,Exit,04-02-2024 06:13,3,1,0
U1003,D201,Entry,04-02-2024 07:13,2,1,0
U1008,D201,Entry,04-02-2024 09:03,1,1,0
U1008,D201,Entry,04-02-2024 09:29,1,1,0
U1002,D203,Entry,04-02-2024 10:08,3,1,0
U1006,D201,Exit,04-02-2024 11:32,3,1,1
U1009,D201,Entry,04-02-2024 12:47,3,1,0
U1005,D203,Exit,04-02-2024 13:48,1,1,0
U1004,D201,Exit,04-02-2024 15:04,2,1,0
U10010,D205,Entry,04-02-2024 15:37,2,2,0
U1005,D201,Entry,04-02-2024 16:19,1,1,0
U1007,D205,Entry,04-02-2024 16:38,2,2,0
U1003,D202,Entry,04-02-2024 17:30,2,2,0
U1004,D201,Entry,04-02-2024 18:12,2,1,0
U1001,D205,Entry,04-02-2024 19:00,2,2,0
U1006,D202,Entry,04-02-2024 20:46,3,2,0
U1003,D204,Entry,04-02-2024 21:28,2,2,0
U1001,D203,Exit,04-02-2024 23:20,2,1,0
U1005,D201,Entry,04-02-2024 23:57,1,1,0
U1003,D202,Exit,05-02-2024 01:13,2,2,0
U1007,D205,Exit,05-02-2024 02:59,2,2,1
U1007,D201,Exit,05-02-2024 03:57,2,1,1
U1009,D202,Entry,05-02-2024 05:53,3,2,0
U1001,D205,Exit,05-02-2024 07:49,2,2,1
U1007,D203,Exit,05-02-2024 08:32,2,1,1
U10010,D205,Exit,05-02-2024 10:03,2,2,0
U1005,D201,Entry,05-02-2024 10:34,1,1,0
U1009,D205,Exit,05-02-2024 12:12,3,2,0
U1004,D205,Exit,05-02-2024 13:54,2,2,0
U1002,D203,Exit,05-02-2024 15:39,3,1,1
U1003,D205,Entry,05-02-2024 16:34,2,2,0
U1003,D203,Entry,05-02-2024 16:57,2,1,0
U1006,D203,Entry,05-02-2024 17:20,3,1,0
U1002,D205,Entry,05-02-2024 17:49,3,2,0
U1002,D202,Exit,05-02-2024 18:20,3,2,0
U1007,D201,Entry,05-02-2024 19:33,2,1,0
U1006,D202,Exit,05-02-2024 20:57,3,2,0
U1008,D203,Entry,05-02-2024 21:11,1,1,0
U1006,D202,Exit,05-02-2024 22:56,3,2,1
U1001,D205,Entry,06-02-2024 00:25,2,2,0
U1009,D202,Entry,06-02-2024 01:29,3,2,0
U1004,D204,Entry,06-02-2024 02:16,2,2,0
U1004,D201,Entry,06-02-2024 03:43,2,1,0
U1002,D204,Exit,06-02-2024 05:06,3,2,1
U1008,D201,Exit,06-02-2024 05:37,1,1,0
U1004,D204,Entry,06-02-2024 05:53,2,2,0
U1005,D203,Entry,06-02-2024 06:22,1,1,0
U1005,D201,Entry,06-02-2024 06:58,1,1,0
U10010,D204,Exit,06-02-2024 07:36,2,2,1
U1004,D202,Exit,06-02-2024 09:32,2,2,0
U1004,D202,Entry,06-02-2024 10:31,2,2,0
U1002,D204,Entry,06-02-2024 11:39,3,2,0
U10010,D204,Exit,06-02-2024 12:00,2,2,1
U1006,D202,Entry,06-02-2024 12:12,3,2,0
U1004,D204,Entry,06-02-2024 13:33,2,2,0
U1002,D202,Exit,06-02-2024 13:50,3,2,0
U1009,D201,Entry,06-02-2024 15:18,3,1,0
U1003,D204,Exit,06-02-2024 15:46,2,2,0
U1009,D201,Entry,06-02-2024 17:34,3,1,0
U1002,D205,Exit,06-02-2024 18:26,3,2,1
U1007,D202,Exit,06-02-2024 19:05,2,2,0
U1004,D202,Exit,06-02-2024 20:32,2,2,0
U1002,D203,Entry,06-02-2024 20:41,3,1,0
U1002,D203,Exit,06-02-2024 21:53,3,1,0
U1004,D201,Entry,06-02-2024 23:16,2,1,0
U1007,D205,Entry,07-02-2024 01:11,2,2,0
U1005,D203,Exit,07-02-2024 01:26,1,1,0
U1003,D203,Entry,07-02-2024 02:48,2,1,0
U1003,D204,Entry,07-02-2024 03:35,2,2,0
U1008,D203,Entry,07-02-2024 04:31,1,1,0
U1008,D203,Entry,07-02-2024 04:48,1,1,0
U1008,D203,Exit,07-02-2024 06:42,1,1,0
U10010,D202,Entry,07-02-2024 08:14,2,2,0
U1006,D204,Exit,07-02-2024 08:25,3,2,0
U1007,D205,Exit,07-02-2024 09:40,2,2,0
U1005,D201,Exit,07-02-2024 11:24,1,1,1
U1007,D205,Entry,07-02-2024 12:32,2,2,0
U1004,D204,Exit,07-02-2024 14:25,2,2,0
U1009,D201,Entry,07-02-2024 16:06,3,1,0
U1003,D205,Entry,07-02-2024 17:09,2,2,0
U10010,D202,Entry,07-02-2024 18:06,2,2,0
U1007,D203,Exit,07-02-2024 19:02,2,1,1
U1002,D202,Exit,07-02-2024 19:09,3,2,1
U1006,D203,Entry,07-02-2024 19:44,3,1,0
U1001,D204,Exit,07-02-2024 20:12,2,2,1
U1005,D203,Entry,07-02-2024 22:10,1,1,0
U1004,D203,Entry,07-02-2024 23:23,2,1,0
U1008,D201,Entry,08-02-2024 00:10,1,1,0
U1007,D203,Entry,08-02-2024 00:59,2,1,0
U10010,D201,Exit,08-02-2024 01:28,2,1,0
U1002,D201,Entry,08-02-2024 02:55,3,1,0
U1001,D205,Entry,08-02-2024 04:19,2,2,0
U10010,D203,Entry,08-02-2024 04:50,2,1,0
U1002,D205,Entry,08-02-2024 05:57,3,2,0
U1004,D204,Entry,08-02-2024 06:11,2,2,0
U1001,D205,Exit,08-02-2024 07:10,2,2,0
U1003,D204,Exit,08-02-2024 07:17,2,2,0
U1002,D205,Entry,08-02-2024 07:34,3,2,0
U1009,D202,Entry,08-02-2024 09:14,3,2,0
U1001,D202,Entry,08-02-2024 11:02,2,2,0
U1001,D201,Entry,08-02-2024 12:49,2,1,0
U1008,D201,Entry,08-02-2024 13:33,1,1,0
U1005,D203,Entry,08-02-2024 15:16,1,1,0
U1004,D205,Entry,08-02-2024 17:11,2,2,0
U1005,D203,Entry,08-02-2024 17:57,1,1,0
U1006,D201,Entry,08-02-2024 19:16,3,1,0
U1007,D202,Exit,08-02-2024 19:25,2,2,0
U1005,D203,Exit,08-02-2024 21:02,1,1,0
U1008,D201,Exit,08-02-2024 21:24,1,1,0
U10010,D205,Exit,08-02-2024 22:07,2,2,0
U1008,D201,Entry,08-02-2024 23:12,1,1,0
U1002,D201,Entry,09-02-2024 00:27,3,1,0
U1001,D201,Exit,09-02-2024 02:09,2,1,1
U1009,D204,Entry,09-02-2024 03:57,3,2,0
U1009,D205,Entry,09-02-2024 04:13,3,2,0
U1006,D202,Exit,09-02-2024 04:56,3,2,0
U1005,D203,Entry,09-02-2024 06:32,1,1,0
U1007,D201,Entry,09-02-2024 07:06,2,1,0
U1006,D202,Entry,09-02-2024 07:54,3,2,0
